name,type,region,locality,geolocation
Земская управа,архитектура,Пермь,Пермский,"(Decimal('56.229434'), Decimal('58.01045'))"
Губернская казначейская палата,архитектура,Пермь,Пермский,"(Decimal('55.272576'), Decimal('59.079399'))"
провинциальный приют,архитектура,Пермь,Пермский,"(Decimal('56.229434'), Decimal('58.01045'))"
Губстракасса,архитектура,Ивановская область,Иваново,"(Decimal('40.973921'), Decimal('57.000348'))"
Дворец «Дюльбер»,архитектура,Республика Крым,,"(Decimal('33.993751'), Decimal('45.389194'))"
Брачный дворец,архитектура,Астраханская область,Астрахань,"(Decimal('48.033574'), Decimal('46.347869'))"
Брачный дворец,архитектура,Тамбовская область,Тамбов,"(Decimal('41.452274'), Decimal('52.721219'))"
Дворец бракосочетаний на Фурштатской,архитектура,Санкт-Петербург,Санкт-Петербург,"(Decimal('30.297668'), Decimal('59.929263'))"
Дворец военного губернатора,архитектура,Нижегородская область,Нижний Новгород,"(Decimal('44.006516'), Decimal('56.326797'))"
Дворец детства и юношества,архитектура,Севастополь,,Not found
Дворец искусств,архитектура,Ивановская область,Иваново,"(Decimal('40.986569'), Decimal('56.994474'))"
Дворец культуры «Авиатор»,архитектура,Ярославская область,Рыбинск,"(Decimal('38.858406'), Decimal('58.048454'))"
Дворец культуры ЛВРЗ,архитектура,Республика Бурятия,Улан-Удэ,"(Decimal('106.39507'), Decimal('52.172408'))"
